１．電話交換嬢とのデート

話し手
（略号）　（氏名）　（性）　（生年）
Ａ　　　内海春吉　　男　　大正８年生まれ
Ｂ　　　本郷しげ　　女　　大正７年生まれ

0514201|Ａ|アー　オラー　エロケ　デカ゜ゲダ　コロダオンナー|おれが　色気　出かかった　頃のことだよな。
0514506|Ｂ|〈ミサチャ〉ン|みさちゃんですよ。
0514507|Ａ|オラー　ナメァーモ　ッ＾シャネァ［12］　カオモ　シャネァンダ　マズモ〈ッテ〉|おれは　名前も　知らない　顔も　知らないのだ。だいいち。
0514509|Ｂ|〈ン〉　ミサチ〈ャン〉|そう　みさちゃんだ。
0514510|Ａ|〈ネレ〉　ホシテ　アノー　フタンデ　デートスル　ヤクソグステ　（Ｂ　《笑》）　ホシテ　アラヤ［13］ガラダナー　ハラコメス［14］　フタッツ　コシェァデ　（Ｂ　ンー）　ステ　デンワデ　ホノ　ショーコーカイノネー　アノー　ポストン　ドゴデ　タッテ　マッテッカラ　ツー　ハナス　アッタ　モンダガラ　（Ｂ　ンー）　オレ　ズーズコロ　ハラコメス　モッテ　エッタオンナー　（Ｂ　ンー）　ズデンシャデ　ホゴー　トーッテ　アルッタ［15］ゲントモ　ンー　カノジョノ　ヨーナモン　タッテネァド　オモッテ　エッショケンメー　アルッタッケ　ナンダベー　ハルサーンテ　コエ　カゲラッテ　ミタラバ　オラヨリ　トス　トッテ　エタンダッタオンナー　ソノ　トーズナ　ンダガラ　（Ｂ　ン）　バンサンニ　ミエダオンナー　（Ｂ　ンー）|ね　そして　二人で　デートする　約束をして　（Ｂ　《笑》）　そして　荒屋からだね　はらこ飯を　二人分　作って　それから　電話で　「商工会の　あの　ポストの　所で　立って　待っているから」　という　話が　あった　もんだから　おれは　十時頃　はらこ飯を　持って　行ったんだよ。自転車で　そこを　通って　行ったけれども　彼女の　ような者は　立っていないと　思って　一生懸命に　自転車を動かしていたら　「なんだ　春さん」　って　声を　かけられて、見たら　おれより　年を　取って　いた〔女〕だったもんな。その　当時はね、だから　婆さんに　見えたもんな。
0514607|Ａ|オラ　アノ　アダリ　ズーク　グレァ　ダガラ　ンダ　マダ　【ワゲァモンダド】　アノ　ワゲァー　スカ゜ダ　スッタ［16］ド　オモッテ｛ダラ｝　ホデネァガッタモンダナー　（Ｂ　ンー）　オレー　アラハマサ　キッタトキ　【カオモ】　コエワ　キーダゴド　アッケントモ　カオダゲ　ジェンジェン　ワガンネァガッタガラ　マズカ゜ッテ　エッタッタ　モンナヤー　（Ｂ　ンー）　ンナヨーナ　コトマデ　デンワーニ　ツエデワ　ホントニ　セースンツーモノー　オー　タノスグ　ホンニ　オモシェグ　スコ゜サシェデ　モラッタナー　アノ　アダリ　カンケ゜ァーテ　ミットナヤー|おれは　あの　頃　十九歳　ぐらい　だったから。そうだ。〔相手も〕まだ　若い　姿を　していると　思っていたら　そうでなかったものだ。おれは　荒浜に　来てた時　〔彼女の〕声は　聞いたことが　あるけれども　顔だけは　全然　分からなかったから　まちがって　行った　ものだよ。そのような　ことまで　電話に　ついては　本当に　青春というものを　楽しく　本当に　面白く　過ごさせて　もらったな　あの　頃を　考えて　見るとなあ。
0514703|Ｂ|ステ　ホノ　ハラコメス　ナジョー　ナッタノワ　ホラ|そして　その　はらこ飯は　どう　なったの？
0514704|Ａ|ホステ　オエテ　キタベッチャ［17］ワ　タダ|そして　置いて　きたよ、ただ。
0514705|Ｂ|シタッケ　（Ａ　ンー）　ホノ|そうしたら？
0514706|Ａ|ンー　アノ　（Ｂ　アノ）　｛カノジョワ　ホレ｝　ウゲトッタダケデ　（Ｂ　ンー）　アド|うん。彼女は　受けとっただけで　あとは〔べつに何も〕。
0514708|Ｂ|カオ　ミネァデ　キタノワ|顔も　〔ろくに〕見ないで　〔帰って〕来たの？
0514709|Ａ|ンー|うん。
0514710|Ｂ|アノ　【ミサチャン　ヒト】　ミサチャンツー　ヒト　ネレ［18］　（Ａ　ン）　アンドキ　ニジューサンダッタガ　スタラ|あの　みさちゃんという人　ね　あの時　二十三だったか　そうすると。
0514712|Ａ|ニズーサン　ケァー|二十三　かい。
0514713|Ｂ|ンー|うん。
0514801|Ａ|ホスット　オラヨリー|そうすると　おれより。
0514802|Ｂ|ヨ［19］ッツモ　ヨゲーナンダエッチャ［20］|　四つも　余計なんだったじゃないの。
0514803|Ａ|ヨッツガ　エズズ　ヨゲーダッタンダオンナー　（Ｂ　ンー）　ンー　（Ｂ　ンー）　〈オラ　マタ〉|四つか　五つ　余計だったものな。おれはまた〔もっと若いと思っていたが〕。
0514805|Ｂ|〈ホイズ〉　コエバリ　キーデ|それを　声ばかり　聞いて。
0514806|Ａ|ホンダ　ホンダ　〈ホーンダッチャ　ウン＾ブダガラ　ホレ〉|そうだ、そうだ、そうだよ。〔自分は〕「うぶ」だったから。
0514807|Ｂ|〈ドゴニ　ハラコメス　フタッツ〉　モッテ　ホスケ　モーション　カゲル　キニ　ナッタッタッテ　〈ワガンメッチャ　コノ　ハルサンモ〉|はらこ飯　二つ　持って　そして　モーションを　かける　気に　なっても　だめでしょう。春さんも。
0514809|Ａ|〈ホイズー　アッツア　ウエダオンナ〉　（Ｂ　ンー）　オラミデァ　アンニ　オメァー［21］　チョコ　チョコ　サシェデ　オガンネァサ　ンダゲットモ　オメァ　エロケノー　デハズメツノ　（Ｂ　《笑》）　ホンニ　（Ｂ　《笑》）　ナニ　スッカ　ワゲ　ワガンネァガンナ　（Ｂ　《笑》）　（Ａ　《笑》）|それ、あっちは　年上だものな。おれみたいな　若造に　ちょこ　ちょこ　させて　おかれないよね。だけど　色気の　出始めというのは　（Ｂ　《笑》）　本当に　（Ｂ　《笑》）　何を　するか　わけが　分からないからね。（Ｂ　《笑》）　（Ａ　《笑》）
