15．小正月の行事

話し手
Ａ　佐直　きえ　女　明治36年生まれ
Ｂ　高梨八太郎　男　大正3年生まれ
Ｃ　佐直まさゑ　女　明治34年生まれ
Ｄ　矢作　春樹　男　昭和6年生まれ（研究員）

0112601|Ｄ|ムガシノ　コー　ネンチューギョージデネ　（Ａ　ンー）　ミーサ　カナモノ　ミナ　アケ°デナテ　ユナァヨ　（Ａ　ンー）　ナガナガ　ハナスシテケル　シト　エネナヨ。|昔の　こう　年中行事でね　（Ａ　ん）　箕に　金物〔を〕　すべて　上げてなんて　いうの〔は〕よ　（Ａ　ん）　なかなか　話してくれる　人〔は〕　いないのよ。
0112801|Ａ|ユッテナヤ　〈カミサ　ツヅンデ〉。|結ってな　紙に　包んで。
0112802|Ｂ|〈ンダゲ　アリャ〉　サンボングワナ　クワナ　モテ　クランネベ。ンダゲ　コー　スカゲデ　オグ　ドゴサ　ミナ　（Ａ　〈ホンダ　ミナ　モヅ　コーナヤ［3］〉）　〈｛ヒス｝モヅニ［4］　シテ　リャ〉　（Ｃ　ンダ）　ミナ　ミコ°デ　ユッテ　ナレ　（Ａ　ホダ　ユッテナヤ）　カミサ　クルンデ　シテ　（Ａ　ホシテ　ミナ）　カシェデ　オグナダケ。|だから　あれ　三本鍬など　鍬など〔は〕　持って　来られないだろう。だから　こう　引掛けて　おく　ところに　みな　（Ａ　そうだ　みな　餅を　こうね。）　菱餅〔に〕　して　あれ　（Ｃ　そう）　みな　藁しべで　結って　なあ　（Ａ　そう　結ってなあ）　紙に　くるんで　そして　（Ａ　そうして　みな）　食わせて　おくのだった。
0112807|Ａ|ンダゲ　アドノ　ショーカ°ヅジャ　モヅ　ンート　エッケヅン＾ダナ　ムガスナヤ。|だから　あとの　正月というものは　餅〔が〕　うんと　必要だったんだな　昔はな。
0112809|Ｂ|ハヤグンナイェガテ〈ナヤ〉。|早くの〔正月〕よりもね。
0112810|Ａ|〈ショ〉ン＾ドーク°サ　ミナ　ホレー　アケ°ランナネモノ。|諸道具に　すべて　ほら　供えなければならないもの。
0112811|Ｂ|ジェンブダモノ。|全部だもの。
0112812|Ａ|ンー　エマナノ　ホレ　オラエノ　ジュンイチダナー［5］　ホレ　ヅドシャナノ　アケ°デル　アレ。（Ｃ　ン）　ン。|ん　今など　ほら　俺家の　純一たちなど　ほら　自動車など〔に〕　供えてる　あれ。（Ｃ　ん）　ん。
0112901|Ｃ|ヅドシャダテ　ホレ　カシェカ°シェデ　〈｛オグナダハゲ｝〉|自動車だって　ほら　働かせて　おくんだから
0112902|Ａ|〈ンダー　ンダ〉ハゲテ|そうだ　だから
0112903|Ｂ|アドノ　ショーカ°ヅナテ　ユタテハ　モヅナ　ツカネヅハ。《笑》　オラエデナ　ツカネハ。|あとの　正月なんて　言ったって　餅など　つかないな。《笑》　俺家でなど　つかないな。
0112905|Ａ|ンダー　ヤッパリ　ンダヅ　エマナノ　アドノ　ショーカ°ヅナテ　ツカネハー　ヤッパリ。（Ｂ　〈ンダ〉）　〈スンノ〉　ショーカ°ヅド　キューノ　ショーカ°ヅ　グラエナ　モンデヨハ。（Ｂ　ン）　ンー。ンダゲ　キューノ　ショーカ°ヅ　キューノ　ガンヅヅ　ホレ　ミナー　ホノ　ヅン＾ドシャサデモ　ナエデモ　アケ°ダヅダナ　（Ｂ　ン）　オラエデナ　ホレ。（Ｃ　ンー）　ミーサ　ヤッパリ　ホレ　ナニモカニモ［6］　アヅベデ　コヤサ［7］　オエデ　ホシテ　《笑》　〈モヅ｛シテ｝〉…|そう　やっぱり　そうだ　今など　あとの　正月なんて　つかないなあ　やっぱり　（Ｂ　そう）　新暦の　正月と　旧暦の　正月　ぐらいの　もんでよ。（Ｂ　ん）　ん。だから　旧暦の　正月　旧暦の　元日〔に〕　ほれ　みな　その　自動車にでも　何にでも　供えたよな　俺家でなど　ほら　（Ｃ　ん）　箕に　やっぱり　ほら　何もかも　集めて　納屋に　おいて　そして　《笑》　餅そして（？）
0112912|Ｂ|オラエデナ　ホダナ　スネナハ。（Ａ　ンダガ）　ヅドシャサバリ　アケ°デハ。＊|俺家でなど　そんなことは　しないな。（Ａ　そうか）　自動車にばかり　供えてさ。＊
0113001|Ａ|オラエノ　ジュンイチナ　ホダナ　ゴド　シテ　バンチャ　ヘッゲナサ［8］　アケ°ッゴダ　ナエベチャエ　ナニモナテ。《笑》|俺家の　純一など　そんな　こと〔を〕　して　お婆さん〔よ〕　そんなものに　供えることは　ないだろうよ　なにもなんて。《笑》
0113003|Ｂ|ナンニモ　ナラネ　｛ミダエナダ｝ゲント　ナェ。|なんにも　ならない　みたいなんだけど　ね。
0113004|Ａ|ウサ［9］　ネンージュ　ホダナ　ツカテ　エンナダ　モノ　ショーカ°ヅ　ク°ラエ　モヅ　カヘランナネベヅテ　ホシテ　ホレ　ミナー　キューノ　ショーカ°ヅ　シタモハ。（Ｃ　ンー）　ンー。（Ｃ　ンー）|お前　年中　そんな　使って　いるんだ　もの　正月　ぐらいは　餅〔を〕　食わせなければならないだろうよって　そして　ほら　みな　旧暦の　正月に　やったもの。（Ｃ　ん）　ん。（Ｃ　ん）

