3．西瓜作りの話

話し手
（略号）　（氏名）　（性）　（生　年）
　Ａ　　　溝口　誠治　男　　　大正4年生れ
　Ｂ　　　尾上　サミ　女　　　明治30年生れ

0227701|Ａ|マ　ソン　ジブンカラー　シーカワ　ツクリオッタ　モンナー。ヤッパー。|ま　その　時分から　西瓜は　作っていた　ものねぇ。やっぱり。
0227902|Ｂ|オガ　シェデ［14］　イタテカラワー　アノ　アカシマデ　ヨカ　シーカバ　トッテー。|私が　瀬戸に　嫁入ってからは　あの　赤島で　よい　西瓜を　とって。
0227904|Ａ|ウン。|うん。
0227905|Ｂ|イマ　ヘイオンジガ　ホシ［15］　アノー　コーテ。（Ａ　ウン。）　ナヤテ　ウエテ　クサレキャーテ［16］。|今　平おじが　あの　買って。（Ａ　うん。）　貯蔵して　植えて　腐らかして。
0227907|Ａ|《笑》　ナヤテ　ウエテ。|《笑》　貯蔵して　植えて。
0227908|Ｂ|アギャン　コトモ　アッタ　トゾ。|あんな　ことも　あった　んだよ。
0227909|Ａ|ウン。|うん。
0227910|Ｂ|アンマイ　ヨカ　シーカテ|あまりに　よい　西瓜って
0227911|Ａ|ヨカ　シーカテ　ホレテ　タコ　【コ】　【コ】ーテ　ソン［17］　キャー［18］クサレテ　ソンシタ　ワケ　ター。《笑》|よい　西瓜って　惚れて　高く　買って　腐って　損をした　わけ　よ。《笑》
0227912|Ｂ|ソンシタッ　ター。（Ａ　《笑》）　ドー［19］　ヨカ　シークヮッチテ　ホメテ［20］|損をした　んよ。（Ａ　《笑》）　どうして　よい　西瓜といって　褒めて
0228002|Ａ|マー［21］　シーカモ　イマノゴト　ミチガー　イマワ　モー　ノードガ　デケテ　スグー　ウ　ハタケノ　グルッカラ　マ　ジェンブッテ　ワケジャ　ナカッドン　ツミコーデ［22］　イクケン　シンドーモ　ナンモ　ナカトジャケード　ヤハー［23］　ソリョー　イノーテー　カガリー［24］　フトカ　シーカヲ　ミッツズツ　イレオッタ　ナー。カガリー。|まあ　西瓜も　今のように　道が　今は　もう　農道が　できて　すぐに　畑の　まわりから　ま　全部という　わけでは　ないけれども　積みこんで　行くから　つらくも　なんとも　ないんだけれど　やっぱり　それを　担いで　入れものに　大きい　西瓜を　３個ずつ　入れていた　ねえ。入れものに。
0228008|Ｂ|アー。ミッツズツ　｛フテニャー｝［25］　イニャ　オランジャッター。|ああ。３個ずつ　担いでは　おらなかった。
0228009|Ａ|コマカト　ヨッツモ　イツツモ　ウエ　マタ　ノセテ　ヤッテキオッタンドン　ナー。|小さいのを　４個も　５個も　上に　また　載せて　やってきていたけれど　ねえ。
0228011|Ｂ|ドーシテ　コロベバ　モー　ビッシャル　イックヮ［26］ナガラ　ウチワレオッタ　モン。|どうして　転ぶと　もう　おしつぶれて　一荷　全部　割れてしまっていた　もの。
0228013|Ａ|【ニジッ】　ニジッキン　アル　シーカノ　フトカトン　ツレナレバー　カガンノ　カタホーニ　ミッツ　｛イウエバ｝［27］　ロクジュッキンジャロ。デー　ツヨカ　モンデ　ナカラー　イナイキラン　モンナー。|２０斤　ある　西瓜の　大きいものの　仲間になると　入れものの　片方に　３個　入れると　６０斤だろう。だから　力の強い　者で　なければ　担ぎえない　ものねえ。
0228103|Ｂ|イナイエン。|担ぎえない。
0228104|Ａ|コー　フトカ　シーカー。ソルバ　マタ　フネニ　ツ［28］　キズバ　ツケンゴト　シテー　フネニー　｛ツ｝［29］ンデキテー　ソーシテ　ソン　ジブンナ　ソノー　コヤッテユーテ　イマンゴト　モー　ヤッパリ　リョーシワラノ　コグチワ　モタン［30］　モンジャルケン　イエン　ナキャ　タタンバ　ヒャーデ［31］　イエン　ナキャー　シーカバ　ナラベオッタ　タ。ズート。|このように　大きい　西瓜は。それを　また　船に　傷を　つけないように　して　船に　積んできて　そうして　その　時分は　その　小屋といって　今のように　もう　やっぱり　漁師部落の　小口部落は　持たない　ものだから　家の　中に　畳を　取り除けて　家の　中に　西瓜を　並べていた　んよ。ずらりと。
0228110|Ｂ|オー　イエン　ナカノ　〈イェンノッテ　イェンニー〉　（Ａ　〈イエン　ナカニー　フトーカ　シーカバー〉）　ナラベオッタ。|おお　家の　中の　縁のって　縁に　（Ａ　家の　中に　大きい　西瓜を）　並べていた。
0228112|Ａ|ウン　オーカタ　イェンノ　イエン　ナキャノッテ　ユーテ　【イタバリー】　（Ｂ　イタバリー　オキオッタ。）　イタバリー　アノ　オーッ　シキモンバ　シテー。（Ｂ　アン。）　ナゴ　オクトワー　コリャ　イッチョー　ナゴ　オカンバテ　オモウトワ　シキモンバ　シテー　シンノ　クサレンゴト　ナー。マゴバ　シーテ　（Ｂ　シーテ）　ソシテ　イタバリー　アノー［32］　オキオッタ　モンナ。|うん　たいてい　縁の　家の　中のって　言って　板張りに　（Ｂ　板張りに　置いていた。）　板張りに　あの　敷物を　して。（Ｂ　うん。）　長く　置くものは　これは　ひとつ　長く　置かなければと　思うもの〔西瓜〕は　敷物を　して　尻が　腐らないように　ねえ。莚を　敷いて　（Ｂ　敷いて）　そして　板張に　あの　置いていた　ものね。
0228205|Ｂ|オキオッタ　ト［33］。|置いていた　んよ。
0228206|Ａ|ソン　ジブンノ　シーカノ　シュルイテ　ユートワ　ドギャントノ　アッタ　カナー。|その　時分の　西瓜の　種類って　いうのは　どんなものが　あった　かねぇ。
0228208|Ｂ|ドギャントテー　コーンナ　フトカ　ボーブラジークヮッテ　ユートモ　アール［34］。モー　アノー　アリャ　タネ　バッキャイオッタ　モンナー|どんなのって　こんな　大きい　南瓜西瓜って　いうのも　ある。もう　あの　あれは　種を　奪い合っていた　ものねぇ。
0228211|Ａ|ホー。|そう。
0228212|Ｂ|ウン。ヨカ　タネバー　カエバ　アッテ　ヨカ。|うん。よい　種を　買うと　ほら　よい。
0228213|Ａ|シマジークヮッテ　ユートモ　アッタ　ター〈イ。ソノー〉　（Ｂ　〈シマジークヮモ　アッター〉。）　シマノ　トーッタ　フトカ　シーカノ　ナー。|縞西瓜って　いうのも　あった　んよ。その　（Ｂ　縞西瓜も　あった。）　縞の　ついた　大きい　西瓜の　ねぇ。
0228303|Ｂ|アルオッター。ホンーナ　タケン　タッカ　ヨカ　コロンヨカ　シークヮノー　デケオッタ　トー。|あっていた。ほんとに　丈が　高い　よい　程よい　西瓜が　できていた　んよ。
0228305|Ａ|イロイ［35］　ソン　ジブンナ　カホーズイカッチューテー　アリャー　ンー　カホーワ［36］　クマモトーケン　カナー。アスコカラ　ゴマン　タネノゴト　コマーカ　タネバー　トッテー　〈アノ〉　シーカバ　（Ｂ　〈アノ〉）　ツクッタ　コト　アール。|いろいろ　その　時分は　嘉穂西瓜っていって　あれは　うん　嘉穂は　熊本県　かねぇ。あそこから　胡麻の　種のように　小さい　種を　取り寄せて　あの　西瓜を　（Ｂ　あの）　作った　ことが　ある。
0228309|Ｂ|タネノ　コマカトガ　【ウマカ】　ウマカリオッタ。|種の　小さいのが　うまかった。
0228310|Ａ|フニ［37］　イマモ　アロンドン［38］　フート　ムカシャ　コマーカト　アメリカジーカテ　サイベリアッテ　ユートノ　（Ｂ　ハー　アーモ　アッタ　ト。）　キオッタ　モンナー。［39］　ウリー　ニタ　シーカモー。|ほんとに　今も　あるだろうけど　ずっと　昔は　小さい西瓜の　アメリカ西瓜って　サルデニヤって　いう西瓜が　（Ｂ　ああ　あれも　あった　んよ。）　入って来ていた　ものねぇ。瓜に　似た　西瓜も。
0228313|Ｂ|ウリー　ニタ　シークヮノ　【ア】　アルオッタ　ト。ナンカトノ　〈ジキ　ワレヤスカトノ〉。|瓜に　似た　西瓜が　あっていた　んよ。長い西瓜の　すぐ　割れやすい西瓜が。
0228402|Ａ|〈アリワ　ユー　ワレオッタ〉　ター。|あれは　よく　割れていた　んよ。
0228403|Ｂ|ハー。ユー　ワレオッ［40］　ヤス〈カッタ〉。|ああ。よく　割れていた　割れやすかった。
0228404|Ａ|｛〈　　〉　　｝［41］　アメデモ　フレバ　アメデ　ワレオッタ　モンナー。|雨でも　降れば　雨で　割れていた　ものねえ。
0228405|Ｂ|アメデモ　ワレオッタ　ト。|雨でも　割れていた　んよ。
